rep,id,b01,b11,b21,a1,p1,g1,p2,g2,alpha11,alpha21,eta_b01,eta_b11,eta_b21,eta_a1,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha21
2,10,5.80387608234939,-0.094392358626571,-0.25004903282109,4.2485818248873,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.09462795326474,0.0262966234978396,-0.0879613230472021,0.235288833974864,0,0,0,0,0,0
3,10,4.94266476415339,-0.125419359974043,-0.382244887997899,0.890482464914072,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,0.233416635068739,-0.00473037784963211,-0.220157178224011,-1.32728827274085,0,0,0,0,0,0
1,11,5.53222260641032,-0.0919013843910119,-0.247240255611784,5.16529916095552,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,0.822974477325669,0.0287875977333987,-0.0851525458378958,0.430666616685476,0,0,0,0,0,0
2,11,8.48724602986002,-0.177476222382261,-0.142839831105798,29.1663414385503,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,3.77799790077537,-0.0567872402578501,0.0192478786680897,2.16171894894168,0,0,0,0,0,0
3,11,6.69543428033889,0.0587476699716015,0.0431885278336797,1.57252660842887,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.98618615125423,0.179436652096012,0.205276237607568,-0.758612774464595,0,0,0,0,0,0
1,12,3.06183908499942,-0.171078296692643,-0.142182799844737,12.137485243976,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.64740904408524,-0.0503893145682322,0.0199049099291515,1.28500221286504,0,0,0,0,0,0
2,12,5.11055946969481,-0.177999014249181,-0.248586401289062,0.964163450989718,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,0.401311340610153,-0.05731003212477,-0.0864986915151741,-1.24779084878916,0,0,0,0,0,0
3,12,6.26278279181686,-0.297109423342821,-0.151389194039442,11.6101976274753,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.55353466273221,-0.176420441218411,0.010698515734446,1.24058741272862,0,0,0,0,0,0
1,13,8.21822627046826,0.0186214776334862,-0.184750392800468,9.03215182921855,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,3.5089781413836,0.139310459757897,-0.0226626830265803,0.98949423183651,0,0,0,0,0,0
2,13,6.0734937689986,0.0217966295135657,-0.0933194221055393,14.8579655932848,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.36424563991395,0.142485611637976,0.0687682876683489,1.4872397200106,0,0,0,0,0,0
3,13,6.36246711402565,0.045630288942756,-0.146547149963722,7.58201578918181,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.65321898494099,0.166319271067167,0.015540559810166,0.814482694534697,0,0,0,0,0,0
1,14,3.22631939884596,0.0314796886004479,-0.280920493532044,9.117036042699,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.4829287302387,0.152168670724859,-0.118832783758155,0.998848350932391,0,0,0,0,0,0
2,14,8.51227172227765,0.113295776617487,-0.115846681798798,1.08893792154573,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,3.803023593193,0.233984758741898,0.0462410279750898,-1.12609356769587,0,0,0,0,0,0
3,14,3.12320877779462,0.022495175189788,-0.238133396609496,8.24974316955719,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.58603935129004,0.143184157314199,-0.0760456868356075,0.898885663885913,0,0,0,0,0,0
1,15,4.11370858414446,-0.238843070532023,-0.0577309044021745,2.69954248950173,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-0.595539544940198,-0.118154088407612,0.104356805371714,-0.218214094693733,0,0,0,0,0,0
2,15,3.72661745379959,-0.0213897897086321,-0.179929697973616,135.772511352544,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-0.982630675285064,0.0992991924157785,-0.0178419881997278,3.69968436953719,0,0,0,0,0,0
