rep,id,b0,b1,h1,h2,alpha1,alpha2,hcov1,hcov2,score4C
4,7,29.6493232001735,0.683585529768294,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.71341883647085,-1.28532542398699,12
5,7,30.5622108265057,0.625965879287065,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.71341883647085,-1.28532542398699,12
6,7,29.2821558297832,0.835741010612112,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.71341883647085,-1.28532542398699,12
7,7,28.3619762179342,0.769594254541421,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.71341883647085,-1.28532542398699,12
8,7,32.1522418935813,0.724871019135839,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.71341883647085,-1.28532542398699,12
9,7,30.3596049195888,0.671863881102612,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.71341883647085,-1.28532542398699,12
10,7,31.5636943599158,0.646807083474768,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.71341883647085,-1.28532542398699,12
1,8,30.9079736950411,0.77270422397324,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.582827654608,-0.749773163992412,7
2,8,30.5113026759147,0.586130744259065,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.582827654608,-0.749773163992412,7
3,8,29.2059474846691,0.758638210161057,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.582827654608,-0.749773163992412,7
4,8,29.2624267573335,0.66864810081003,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.582827654608,-0.749773163992412,7
5,8,29.8642672835854,0.689512650940706,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.582827654608,-0.749773163992412,7
6,8,31.1622603931206,0.691022304576471,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.582827654608,-0.749773163992412,7
7,8,32.9717195720516,0.707701481525019,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.582827654608,-0.749773163992412,7
8,8,30.529679993405,0.732829663179694,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.582827654608,-0.749773163992412,7
9,8,30.5615168176637,0.730711762863643,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.582827654608,-0.749773163992412,7
10,8,31.2468219547348,0.569833433202376,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.582827654608,-0.749773163992412,7
1,9,30.295432717421,0.654060250056165,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
2,9,29.6758510022879,0.814329703473521,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
3,9,28.909563360288,0.721705912019746,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
4,9,29.2642853179125,0.751092365745086,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
5,9,29.329277172749,0.691321365235469,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
6,9,31.2779454989222,0.599879913473227,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
