id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha15_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha25_SAEM
32,-0.0297745,0.000989579,-0.194571,-0.135981,0.042359,-0.0908506,0,0,0,0,0,0,0,0,0,0
33,-0.0269067,-0.00161157,1.21404,0.125762,0.162666,0.163384,0,0,0,0,0,0,0,0,0,0
34,-0.0714617,-0.000159754,-0.58312,-0.0772812,-0.985548,-0.0398418,0,0,0,0,0,0,0,0,0,0
35,0.000623478,0.00872756,-0.724331,-0.0923425,-0.915009,-0.0963846,0,0,0,0,0,0,0,0,0,0
36,0.0455701,0.000645544,-0.716772,0.010013,-0.467426,-0.0051604,0,0,0,0,0,0,0,0,0,0
37,-0.00762257,0.000495091,1.03293,0.240023,1.19803,0.0252941,0,0,0,0,0,0,0,0,0,0
38,-0.000129072,0.00339907,-0.539754,0.0933771,-0.54363,0.0474445,0,0,0,0,0,0,0,0,0,0
39,0.0338268,0.00563874,-0.30257,-0.039162,0.013304,-0.0556309,0,0,0,0,0,0,0,0,0,0
40,-0.0175879,-0.000200515,0.378753,0.0707369,-0.0941638,0.0478527,0,0,0,0,0,0,0,0,0,0
41,0.0102959,-0.00261543,-2.30551,-0.142543,-1.1852,-0.0830793,0,0,0,0,0,0,0,0,0,0
42,0.0286735,-0.0115592,-0.448116,0.0573238,-1.04329,0.120881,0,0,0,0,0,0,0,0,0,0
43,0.0637735,-0.0072814,-0.848873,-0.0534986,-0.864584,-0.0313341,0,0,0,0,0,0,0,0,0,0
44,0.0492422,-0.000108434,-0.38394,0.0733005,-0.591233,-0.051528,0,0,0,0,0,0,0,0,0,0
45,0.0121766,0.00756001,0.444747,0.177166,0.719008,0.098724,0,0,0,0,0,0,0,0,0,0
46,-0.0348241,-0.00174202,-0.808433,-0.0781217,-1.25792,-0.0171573,0,0,0,0,0,0,0,0,0,0
47,-0.0551471,-0.00299467,-0.694103,0.12335,0.143932,0.000434189,0,0,0,0,0,0,0,0,0,0
48,-0.100285,-0.0023108,-1.18377,-0.104989,-1.59523,-0.081073,0,0,0,0,0,0,0,0,0,0
49,-0.0138978,-0.00756388,-0.0985446,0.222695,-0.413264,0.154789,0,0,0,0,0,0,0,0,0,0
50,0.00485609,0.00125214,-1.27144,0.322847,-0.657524,0.196385,0,0,0,0,0,0,0,0,0,0
51,-0.0392294,0.000151101,-0.635286,-0.0457268,-0.134528,-0.00337508,0,0,0,0,0,0,0,0,0,0
52,0.0321904,-0.00010218,-0.375872,-0.0184128,-0.0484733,-0.0381755,0,0,0,0,0,0,0,0,0,0
53,-0.0122732,-0.00642969,0.423236,0.129051,0.559116,0.133198,0,0,0,0,0,0,0,0,0,0
54,-0.0290921,0.00217042,0.820759,0.0716796,0.731635,0.0196269,0,0,0,0,0,0,0,0,0,0
55,-0.00912873,0.000492408,0.924394,-0.032581,1.16516,0.00782805,0,0,0,0,0,0,0,0,0,0
56,-0.00558464,0.00227048,1.1297,0.00212814,1.1721,0.035402,0,0,0,0,0,0,0,0,0,0
57,-0.00176626,-0.000654436,0.153936,0.142728,0.67714,0.0888224,0,0,0,0,0,0,0,0,0,0
58,-0.0548131,-0.00213786,-0.78398,-0.305449,-0.897126,-0.138783,0,0,0,0,0,0,0,0,0,0
59,-0.0201212,0.000260198,-0.708157,-0.013518,-0.27898,0.00256086,0,0,0,0,0,0,0,0,0,0
60,0.0434478,-0.0074323,0.56466,-0.0695929,0.899345,-0.0932694,0,0,0,0,0,0,0,0,0,0
61,-0.0154742,-0.00208271,0.295399,0.101002,-0.644839,-0.00663639,0,0,0,0,0,0,0,0,0,0
62,-0.0646123,0.00299483,-0.285048,-0.09357,-0.126084,-0.0626456,0,0,0,0,0,0,0,0,0,0
63,0.0504315,0.000457394,-0.672175,-0.0160444,0.493499,-0.00208781,0,0,0,0,0,0,0,0,0,0
64,0.0289684,-0.000108017,-0.34297,0.00681062,0.992263,0.0073378,0,0,0,0,0,0,0,0,0,0
65,0.0157375,0.000794585,-1.13847,0.0263253,-0.110382,0.000311652,0,0,0,0,0,0,0,0,0,0
66,-0.00182293,-0.000775515,-0.188528,-0.0121946,-0.356997,-0.00107193,0,0,0,0,0,0,0,0,0,0
67,-0.0671515,-0.00169483,-0.610519,-0.154836,-0.349507,0.00857217,0,0,0,0,0,0,0,0,0,0
68,-0.00134974,0.00218781,0.593892,-0.103433,0.55786,0.0430218,0,0,0,0,0,0,0,0,0,0
69,0.010154,0.00578022,-0.589179,0.172175,-0.0555356,0.101225,0,0,0,0,0,0,0,0,0,0
70,-0.0337243,-0.0025717,0.684437,0.243952,1.10026,-0.0411242,0,0,0,0,0,0,0,0,0,0
71,-0.0302996,-0.00101172,-1.73438,-0.0702235,-1.0346,-0.00988113,0,0,0,0,0,0,0,0,0,0
72,-0.0230473,0.000844692,0.692123,-0.0479072,0.31417,-0.054753,0,0,0,0,0,0,0,0,0,0
73,0.0172204,0.00062681,-1.55976,0.0384057,-1.5964,-0.00707266,0,0,0,0,0,0,0,0,0,0
