rep,id,b03,b13,p1,g1,p2,g2,alpha13,alpha23,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha13,eta_alpha23
3,11,2.92046742471817,-0.195405263912776,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.38851228989016,-0.0495696775681624,0,0,0,0,0,0
1,12,3.07210732213539,-0.0140358596022372,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.23687239247295,0.131799726742377,0,0,0,0,0,0
2,12,2.6002962797552,-0.00176796416862195,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.70868343485314,0.144067622175992,0,0,0,0,0,0
3,12,3.09354025883699,-0.0275963117543207,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.21543945577135,0.118239274590293,0,0,0,0,0,0
1,13,5.20768223916437,-0.254283815031853,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.898702524556034,-0.108448228687239,0,0,0,0,0,0
2,13,5.57605170883295,-0.279460282348828,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,1.26707199422462,-0.133624696004214,0,0,0,0,0,0
3,13,5.02727782969187,-0.226588972627902,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.718298115083527,-0.0807533862832878,0,0,0,0,0,0
1,14,4.67326433100962,0.138755979614574,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.364284616401283,0.284591565959188,0,0,0,0,0,0
2,14,4.19111074656128,0.183429022558054,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.117868968047056,0.329264608902668,0,0,0,0,0,0
3,14,4.9105181314123,0.0634478578191068,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.601538416803966,0.209283444163721,0,0,0,0,0,0
1,15,5.70794702483076,-0.235975514273835,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,1.39896731022243,-0.0901399279292211,0,0,0,0,0,0
2,15,5.38861696527364,-0.130636681489315,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,1.0796372506653,0.0151989048552993,0,0,0,0,0,0
3,15,5.6560772001582,-0.199303081273917,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,1.34709748554986,-0.0534674949293031,0,0,0,0,0,0
1,16,2.9001957639657,-0.112104581720414,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.40878395064264,0.0337310046242004,0,0,0,0,0,0
2,16,3.29144090641383,-0.14957149594232,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.01753880819451,-0.00373590959770637,0,0,0,0,0,0
3,16,2.79101700081608,-0.146585321160927,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.51796271379225,-0.000749734816313075,0,0,0,0,0,0
1,17,3.53800456439508,-0.336811467876393,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.770975150213256,-0.190975881531779,0,0,0,0,0,0
2,17,1.93773152088301,-0.128988215732157,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-2.37124819372533,0.0168473706124573,0,0,0,0,0,0
3,17,2.39577645108462,0.0220788696569621,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.91320326352372,0.167914456001576,0,0,0,0,0,0
1,18,3.6977450063003,-0.179635833990167,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.611234708308037,-0.033800247645553,0,0,0,0,0,0
2,18,4.04985855454999,-0.196764923167301,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.25912116005835,-0.050929336822687,0,0,0,0,0,0
3,18,2.90049726575813,-0.108894430960051,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.40848244885021,0.0369411553845627,0,0,0,0,0,0
1,19,2.55311303878665,-0.365498137092179,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.75586667582169,-0.219662550747565,0,0,0,0,0,0
2,19,2.98716923303346,-0.422820863161985,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.32181048157488,-0.276985276817371,0,0,0,0,0,0
3,19,3.43841843582823,-0.445110874461003,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.870561278780106,-0.299275288116389,0,0,0,0,0,0
1,20,3.86657599160299,-0.286341883236909,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.44240372300535,-0.140506296892295,0,0,0,0,0,0
2,20,2.63734273197568,0.00138606276681828,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.67163698263266,0.147221649111432,0,0,0,0,0,0
3,20,3.68730659449072,-0.330820424841718,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.621673120117622,-0.184984838497104,0,0,0,0,0,0
1,21,4.42358304338683,-0.0153213975993108,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.114603328778496,0.130514188745303,0,0,0,0,0,0
2,21,4.36262750688514,-0.0953125730946236,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.0536477922768048,0.0505230132499904,0,0,0,0,0,0
3,21,4.29942287437534,-0.21137451743773,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.00955684023299419,-0.0655389310931155,0,0,0,0,0,0
1,22,2.76685689428919,-0.445556061009556,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.54212282031914,-0.299720474664942,0,0,0,0,0,0
2,22,2.61611674432388,-0.380415686191586,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.69286297028446,-0.234580099846972,0,0,0,0,0,0
3,22,1.88716342598639,-0.377367013048535,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-2.42181628862195,-0.231531426703921,0,0,0,0,0,0
1,23,3.67824741106033,-0.0745132477321977,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.63073230354801,0.0713223386124163,0,0,0,0,0,0
2,23,4.05989054648586,-0.277943387936348,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.249089168122475,-0.132107801591734,0,0,0,0,0,0
3,23,4.56439320595621,-0.125647223647597,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.255413491347874,0.0201883626970172,0,0,0,0,0,0
1,24,4.91771306865854,-0.538861602279578,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.6087333540502,-0.393026015934964,0,0,0,0,0,0
2,24,4.33260991893441,-0.319147002751715,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.0236302043260679,-0.173311416407101,0,0,0,0,0,0
3,24,4.69781428031213,-0.376946727685266,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.388834565703792,-0.231111141340652,0,0,0,0,0,0
1,25,4.87632518142291,-0.0763890100492812,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.567345466814567,0.0694465762953328,0,0,0,0,0,0
2,25,4.85907154297913,-0.0892079209991308,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.550091828370794,0.0566276653454832,0,0,0,0,0,0
3,25,4.31838379362868,-0.0833717381729079,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.0094040790203378,0.0624638481717061,0,0,0,0,0,0
1,26,3.33749459583851,-0.249781587533202,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.971485118769824,-0.103946001188588,0,0,0,0,0,0
2,26,3.53760372914252,-0.20825891859202,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.771375985465818,-0.0624233322474058,0,0,0,0,0,0
3,26,2.67790491154261,-0.0637716246408687,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.63107480306573,0.0820639617037453,0,0,0,0,0,0
1,27,4.3929244454438,0.122825633551798,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,0.0839447308354613,0.268661219896412,0,0,0,0,0,0
