rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha13,eta_alpha21,eta_alpha23
1,15,-3.34651297666501,-0.0466941586243556,0.0160505252195949,0.337988707963447,0.0451717673663179,-0.0736710913933362,0,0,0,0,0,0,0,0
2,15,-3.73037138537185,-0.0347779582481952,-0.00465524775298268,0.563629538807538,0.267012796112855,-0.0605979813808872,0,0,0,0,0,0,0,0
3,15,-3.67861776127605,-0.00921705826359809,0.00258121762570329,0.967612450270514,0.258275212426382,-0.0683412408353579,0,0,0,0,0,0,0,0
1,16,-0.851023764993121,-0.0663177446618817,-0.0311717664176334,1.31029694399946,0.186883170571535,0.071760893517718,0,0,0,0,0,0,0,0
2,16,-1.18262466374935,-0.0135320499104753,0.0672722399739042,0.268233163782706,0.143028164382141,-0.0526244111865188,0,0,0,0,0,0,0,0
3,16,0.619230012345036,-0.152076696647416,0.103619096894602,0.258836536091543,0.723793708941585,-0.226099538223569,0,0,0,0,0,0,0,0
1,17,-2.49351449595436,0.217047298868984,0.040551480812409,-0.453351801669331,1.78742239620002,-0.196672718670356,0,0,0,0,0,0,0,0
2,17,-2.68268343940153,0.180646750537006,0.105734929868788,0.777083166073969,1.73924529505227,-0.190053681848204,0,0,0,0,0,0,0,0
3,17,-2.00030721356205,0.223677892360853,-0.0365704490868339,-0.776292913620269,1.97648037164781,-0.211213316395815,0,0,0,0,0,0,0,0
1,18,1.2602646563436,-0.0480021379048038,0.0332711991219571,0.0340206635005338,-0.160144237352111,-0.0808117718706426,0,0,0,0,0,0,0,0
2,18,1.6775919123861,-0.114133697746551,-0.0490708510112191,-0.816624551969504,-0.415893030949672,-0.0690682361157089,0,0,0,0,0,0,0,0
3,18,0.702707576519595,-0.0667445749105046,0.0262322375591129,-0.884179402679028,-0.388579269100118,-0.0908733628390262,0,0,0,0,0,0,0,0
1,19,0.916783701380924,0.162054475239757,-0.00527227651644027,2.19018913089657,0.955661001305894,-0.0938826382720529,0,0,0,0,0,0,0,0
2,19,3.68479881104219,0.0770678836098179,-0.00869837740567878,-0.992651086480303,-0.171714238359407,0.103180176218705,0,0,0,0,0,0,0,0
3,19,0.22634184687973,-0.247151374069582,0.0230005292756622,-0.0504832153221286,-0.190073510450778,0.357447657442646,0,0,0,0,0,0,0,0
1,20,0.851366163171109,-0.0297469491600304,-0.0379757463474197,-1.37059550267873,-0.26480322111069,-0.055191863022661,0,0,0,0,0,0,0,0
2,20,3.02075206422055,-0.124478056889322,-0.0178732567286033,-0.775588324901082,0.50682752436208,-0.0716989299556443,0,0,0,0,0,0,0,0
3,20,2.2584412214506,-0.0280459645549081,-0.00982217880577779,-0.990705961556145,0.322755627488188,0.126138337642225,0,0,0,0,0,0,0,0
1,21,-0.383799018512806,0.0857210169826901,0.027296123797176,1.21600754968483,-0.177544845057348,-0.027316652709408,0,0,0,0,0,0,0,0
2,21,-0.149361933978039,0.0792245614795366,-0.00352590178591977,-0.484887176252126,0.324853815688482,0.100595531130506,0,0,0,0,0,0,0,0
