id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha17_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha27_SAEM
98,-0.00793829,0.00050019,-0.0552555,-0.00516157,0.207305,-0.0015301,-8.51999,0.00462258,0,0,0,0,0,0,0,0,0,0,0,0
99,0.0583224,0.0022987,0.103474,-0.0071286,3.0276,-0.0124792,92.7339,-1.36341,0,0,0,0,0,0,0,0,0,0,0,0
100,0.00527408,0.00470885,-1.53625,-0.106226,-0.926326,0.05578,-120.726,-0.15912,0,0,0,0,0,0,0,0,0,0,0,0
101,0.0323772,-0.000780246,0.0829373,-0.276361,-0.186926,-0.0183276,-103.591,1.74428,0,0,0,0,0,0,0,0,0,0,0,0
102,0.0128745,0.00494788,-0.0770164,-0.162072,-0.466516,0.00356907,-81.5487,1.13361,0,0,0,0,0,0,0,0,0,0,0,0
103,0.0191461,0.00217461,-0.453521,-0.144329,1.20278,0.00073466,-25.675,2.30076,0,0,0,0,0,0,0,0,0,0,0,0
104,0.00716394,-0.000278575,0.940051,0.0332194,1.53137,-0.00549169,-44.3018,-0.240297,0,0,0,0,0,0,0,0,0,0,0,0
105,-0.0213047,0.00110508,0.494397,-0.0140693,0.626758,-0.00693126,73.957,-0.337859,0,0,0,0,0,0,0,0,0,0,0,0
106,-0.00799839,-0.000218271,-0.613955,-0.115578,0.072654,-0.0113858,-217.816,-6.38257,0,0,0,0,0,0,0,0,0,0,0,0
107,0.00944084,-0.00284898,0.196427,0.214914,-3.32628,-0.0102145,-110.427,-4.83511,0,0,0,0,0,0,0,0,0,0,0,0
108,-0.0510053,0.00286443,-0.0663725,0.0638344,1.03342,-0.114816,-58.0338,-7.03289,0,0,0,0,0,0,0,0,0,0,0,0
109,-0.0396142,-0.00823109,-0.618908,0.0419478,-3.19435,-0.122293,-147.224,2.57868,0,0,0,0,0,0,0,0,0,0,0,0
110,0.0467473,0.00253148,-0.293465,-0.0386056,1.21215,0.00238722,-57.8139,-3.80219,0,0,0,0,0,0,0,0,0,0,0,0
111,0.0670938,0.000756641,0.715173,0.0938959,-3.02255,0.0126226,65.9145,-0.442516,0,0,0,0,0,0,0,0,0,0,0,0
112,0.00214939,0.000624455,1.6416,-0.0528591,0.792873,-0.0218503,74.3517,-3.7588,0,0,0,0,0,0,0,0,0,0,0,0
113,0.0227876,0.00203599,0.0432543,-0.0126665,-0.610033,0.0429181,49.0229,-0.501869,0,0,0,0,0,0,0,0,0,0,0,0
114,-0.0382214,-0.00325774,0.676027,0.15532,2.36625,-0.06141,36.0933,-0.272887,0,0,0,0,0,0,0,0,0,0,0,0
115,-0.00317451,0.00129875,0.588312,-0.00557208,2.90814,0.00176997,150.538,-0.407648,0,0,0,0,0,0,0,0,0,0,0,0
116,0.0187616,0.000213386,-0.348026,-0.0167293,-2.57326,0.00232705,-97.6989,-0.21594,0,0,0,0,0,0,0,0,0,0,0,0
117,0.00311511,-0.000642008,-0.494654,0.225222,-1.28457,-0.104928,-86.4402,-7.29709,0,0,0,0,0,0,0,0,0,0,0,0
118,-0.0207659,-0.00633289,-1.06315,0.0400337,0.394956,0.111538,135.409,3.18933,0,0,0,0,0,0,0,0,0,0,0,0
119,-0.0170464,0.000134243,0.515963,0.0369873,-2.83236,-0.0455309,-9.74959,1.04738,0,0,0,0,0,0,0,0,0,0,0,0
120,0.0521793,0.00168175,-1.4062,-0.0369714,3.52711,-0.00164138,-15.8037,0.424954,0,0,0,0,0,0,0,0,0,0,0,0
121,-0.015529,-0.000551183,-0.0531613,-0.0295845,2.90486,0.0124213,88.4359,-0.55183,0,0,0,0,0,0,0,0,0,0,0,0
122,-0.00338767,-9.73756e-05,-0.629376,-0.000949516,-1.47559,-0.00268723,-9.37326,-0.636612,0,0,0,0,0,0,0,0,0,0,0,0
123,-0.0198232,-0.000564867,0.389092,0.0109937,-0.831179,-0.0081703,65.2214,1.3022,0,0,0,0,0,0,0,0,0,0,0,0
124,0.00166741,-0.00207324,-0.441231,0.0692455,0.376107,0.00959283,-29.7099,0.850459,0,0,0,0,0,0,0,0,0,0,0,0
125,0.00251894,-0.000288062,-0.11028,0.104479,-1.29693,0.0358322,-101.143,-2.50247,0,0,0,0,0,0,0,0,0,0,0,0
126,-0.0122121,0.00190446,1.5512,0.167143,0.863485,0.0340172,14.8946,5.12038,0,0,0,0,0,0,0,0,0,0,0,0
127,-0.00286917,0.00412585,-0.0842955,0.000595768,-2.69286,0.0113899,-137.851,0.0614695,0,0,0,0,0,0,0,0,0,0,0,0
128,-0.0389449,0.00149848,-0.933647,0.165633,-1.49245,-0.0431833,-20.4582,1.5953,0,0,0,0,0,0,0,0,0,0,0,0
129,0.00515394,0.000731359,-0.43659,0.162667,0.87299,-0.00864628,73.5847,0.169097,0,0,0,0,0,0,0,0,0,0,0,0
130,-0.0169616,-0.00175655,-0.514904,-0.0125669,-1.58379,-0.000348774,90.5314,2.45722,0,0,0,0,0,0,0,0,0,0,0,0
131,0.0633216,0.000830272,0.939652,0.18133,-0.631674,0.0279943,112.683,0.943904,0,0,0,0,0,0,0,0,0,0,0,0
132,0.0326443,0.00310877,-1.81714,0.147803,-0.305806,0.0306145,34.9899,3.65444,0,0,0,0,0,0,0,0,0,0,0,0
133,-0.0072307,0.012153,1.44016,0.0821645,-2.30181,0.106001,46.0403,4.61665,0,0,0,0,0,0,0,0,0,0,0,0
134,-0.00870854,0.000825609,0.266964,-0.105867,-1.16022,0.00598897,17.9405,-1.39134,0,0,0,0,0,0,0,0,0,0,0,0
135,-0.035651,0.00239806,0.0370777,-0.234942,1.95468,0.0455211,-119.378,3.94837,0,0,0,0,0,0,0,0,0,0,0,0
136,-0.013568,-0.00429887,0.484177,0.00486725,4.4107,-0.0460375,33.8463,0.129638,0,0,0,0,0,0,0,0,0,0,0,0
137,0.0481481,0.00370616,-0.290783,-0.101988,2.31802,-0.0121669,9.09226,-1.56196,0,0,0,0,0,0,0,0,0,0,0,0
138,-0.0466057,-0.00160079,0.54474,0.0540956,1.2907,0.000659027,68.3962,-0.614476,0,0,0,0,0,0,0,0,0,0,0,0
139,0.0362144,0.00304851,-0.871857,-0.240605,0.921528,0.0769742,-44.3329,-1.2704,0,0,0,0,0,0,0,0,0,0,0,0
140,0.0186047,-0.00194649,-0.4662,0.0487738,2.12022,0.0280834,109.542,1.67738,0,0,0,0,0,0,0,0,0,0,0,0
141,0.0299441,0.000445435,1.01799,-0.015103,1.81382,-0.00306317,19.3331,-0.0149597,0,0,0,0,0,0,0,0,0,0,0,0
142,-0.0152703,-0.00209001,0.79392,0.0928831,-0.811927,0.0105399,141.811,2.11387,0,0,0,0,0,0,0,0,0,0,0,0
143,-0.004645,0.00175281,-0.354194,-0.00526421,-2.66917,0.00177065,-111.878,-1.44748,0,0,0,0,0,0,0,0,0,0,0,0
144,-0.0233131,-0.00332365,-0.018242,-0.082089,-2.11264,-0.0496323,-278.918,0.990822,0,0,0,0,0,0,0,0,0,0,0,0
145,0.048328,0.000296971,-0.650831,-0.10738,1.33017,-0.00173351,83.6132,1.84222,0,0,0,0,0,0,0,0,0,0,0,0
146,0.0174713,-0.00614962,-0.611654,-0.126059,0.228742,-0.0309589,160.407,5.97867,0,0,0,0,0,0,0,0,0,0,0,0
