id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha21_SAEM
213,0.84835,0.0273301,0.108214,1.16374,0,0,0,0,0,0
214,-0.0353051,-0.0252313,0.0100902,-0.207781,0,0,0,0,0,0
215,1.04752,-0.0623888,0.0285601,0.335756,0,0,0,0,0,0
216,1.04994,0.0075628,-0.00979,-0.301878,0,0,0,0,0,0
217,-2.12037,-0.00945706,-0.00129562,-0.247539,0,0,0,0,0,0
218,-0.975693,-0.0167292,0.000926172,0.0345429,0,0,0,0,0,0
219,0.378393,0.0518559,-0.0298566,0.266135,0,0,0,0,0,0
220,1.22159,-0.00868959,0.00288406,-0.0258859,0,0,0,0,0,0
221,-0.270501,-0.03245,0.0131824,-0.024608,0,0,0,0,0,0
222,-3.35946,-0.0214245,-0.0203181,-0.519091,0,0,0,0,0,0
223,-0.36217,-0.0595809,0.0127906,-0.094242,0,0,0,0,0,0
224,2.48303,0.0112724,-0.0214255,-0.22307,0,0,0,0,0,0
225,-4.65656,0.0444158,-0.037639,0.149192,0,0,0,0,0,0
226,0.790957,0.00801547,-0.00627635,-0.117497,0,0,0,0,0,0
227,2.71563,-0.016887,-0.00361712,-0.256863,0,0,0,0,0,0
228,2.47284,0.0623222,-0.0362506,0.667766,0,0,0,0,0,0
229,-0.506058,0.135488,-0.0362025,1.21555,0,0,0,0,0,0
230,2.17715,-0.00236355,-0.00539796,-0.116193,0,0,0,0,0,0
231,-0.0818871,0.00371191,-0.0207778,-0.366263,0,0,0,0,0,0
232,0.863635,-0.0472935,0.0108064,-0.169031,0,0,0,0,0,0
233,0.457361,-0.0441824,0.0200661,0.0322814,0,0,0,0,0,0
234,0.364182,0.0238953,-0.0126812,-0.104753,0,0,0,0,0,0
235,-2.08521,-0.0148024,0.00100444,0.0193924,0,0,0,0,0,0
236,0.496233,-0.00754166,0.0022754,0.0630231,0,0,0,0,0,0
237,1.17589,-0.0145966,-0.00619064,-0.0576591,0,0,0,0,0,0
238,0.321148,0.00709707,-0.012775,-0.243537,0,0,0,0,0,0
239,-0.464103,-0.105089,0.0120137,0.230433,0,0,0,0,0,0
240,-0.478642,0.000181838,-0.00680579,-0.233656,0,0,0,0,0,0
241,-1.8261,0.0199855,-0.0195742,-0.13159,0,0,0,0,0,0
242,0.794582,0.0405289,-0.013316,0.105998,0,0,0,0,0,0
243,-1.12415,-0.0129732,-0.00318912,-0.307757,0,0,0,0,0,0
244,0.00309831,0.0126342,-0.00819824,-0.197538,0,0,0,0,0,0
245,1.49581,0.0531271,-0.023965,0.116913,0,0,0,0,0,0
246,-3.58161,0.0386216,-0.050301,0.555455,0,0,0,0,0,0
247,1.70114,-0.0142074,0.00668309,-0.0738632,0,0,0,0,0,0
248,-1.45722,0.0186526,-0.0135089,-0.152305,0,0,0,0,0,0
249,3.23926,0.0825146,-0.0230031,0.407045,0,0,0,0,0,0
250,-1.50355,-0.0158852,0.00695667,-0.42694,0,0,0,0,0,0
251,-3.92343,-0.0231606,-0.0179028,-0.475888,0,0,0,0,0,0
252,-1.48133,-0.0835418,0.080192,0.782291,0,0,0,0,0,0
253,-3.33988,-0.108445,0.0136767,1.39591,0,0,0,0,0,0
254,-3.85339,0.0324575,-0.0358415,-0.0681929,0,0,0,0,0,0
255,0.270732,0.0397176,-0.00623114,-0.105709,0,0,0,0,0,0
256,-0.194392,-0.0177609,0.00374841,-0.139488,0,0,0,0,0,0
257,-1.1291,-0.00130921,-0.020374,-0.20087,0,0,0,0,0,0
258,0.18651,-0.0020096,-0.0115508,-0.301014,0,0,0,0,0,0
259,-0.298856,0.0114779,-0.00324979,0.137163,0,0,0,0,0,0
260,1.7981,-0.00389022,-0.00161039,-0.27419,0,0,0,0,0,0
261,1.67443,-0.0129724,0.00344057,-0.0946644,0,0,0,0,0,0
262,-1.03881,-0.176364,-0.0160457,0.755275,0,0,0,0,0,0
263,2.67372,0.0156712,-0.0105451,-0.110465,0,0,0,0,0,0
264,0.678764,-0.0170624,0.00080123,-0.195934,0,0,0,0,0,0
265,-0.352106,0.0169116,-0.0101013,-0.043335,0,0,0,0,0,0
266,2.98592,0.0126733,0.00367019,0.078493,0,0,0,0,0,0
267,-2.29948,0.041565,-0.0153175,-0.0590793,0,0,0,0,0,0
268,-0.740986,-0.00895041,-0.00621323,-0.0706027,0,0,0,0,0,0
269,-1.7408,-0.057747,0.0104811,-0.200536,0,0,0,0,0,0
270,1.32983,-0.107307,0.0419902,0.642871,0,0,0,0,0,0
