id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_h1_SAEM,eta_h2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM,eta_hcov1_SAEM,eta_hcov2_SAEM,score4C
44,0.523225,-0.0634611,-0.460646,-0.0939715,0.0986652,-0.0013274,0.255897,0.0079076,0,0,0,0,0,0,0,0,0,0,0,0,7
45,-0.484918,-0.0236028,0.464389,-0.0675286,0.0165466,-0.00305079,0.711009,0.0129265,0,0,0,0,0,0,0,0,0,0,0,0,5
46,-0.573904,-0.0167173,0.0960259,-0.0331515,0.0392535,-0.00105003,0.806097,0.00722056,0,0,0,0,0,0,0,0,0,0,0,0,1
47,0.426563,-0.0276099,0.432675,0.0804032,-0.0736035,-0.00626139,0.461436,0.0207543,0,0,0,0,0,0,0,0,0,0,0,0,3
48,-1.26913,-0.0191006,0.354858,-0.166708,0.0703234,-0.00290754,-0.185067,0.00702726,0,0,0,0,0,0,0,0,0,0,0,0,4
49,-0.814247,0.00344062,-0.356125,-0.014969,-0.177234,8.05991e-05,1.5185,0.00621237,0,0,0,0,0,0,0,0,0,0,0,0,12
50,-0.0557341,-0.00966079,-0.150181,-0.0940044,-0.11748,-0.00152999,0.277315,0.00664573,0,0,0,0,0,0,0,0,0,0,0,0,9
51,-0.534535,-0.0176158,-0.134137,-0.0576574,-0.0988755,-0.00278751,0.538201,-0.00453013,0,0,0,0,0,0,0,0,0,0,0,0,4
52,-0.243992,-0.0243754,-0.683077,-0.0406819,-0.102187,-0.00226077,0.529506,0.0116003,0,0,0,0,0,0,0,0,0,0,0,0,7
53,-0.325573,0.127378,0.627463,-0.168059,0.437381,0.0149697,-1.15414,-0.0587373,0,0,0,0,0,0,0,0,0,0,0,0,3
54,-0.146529,-0.0102542,-0.0651137,-0.0220409,-0.221886,2.71655e-05,1.11369,0.0081638,0,0,0,0,0,0,0,0,0,0,0,0,3
55,0.483786,-0.142833,0.0365723,0.0585133,-0.00477689,-0.00159972,0.726648,0.0208157,0,0,0,0,0,0,0,0,0,0,0,0,10
56,-0.263497,-0.0162394,-1.3523,-0.0693471,-0.00729136,-0.00305687,-0.546014,0.00223274,0,0,0,0,0,0,0,0,0,0,0,0,1
57,-0.612287,-0.0309772,0.0352958,-0.0995399,0.0368645,0.000305521,0.560495,0.00438414,0,0,0,0,0,0,0,0,0,0,0,0,8
58,-0.275845,-0.0247141,0.358574,-0.142819,0.0298631,-0.00443613,0.572514,0.00783742,0,0,0,0,0,0,0,0,0,0,0,0,6
59,0.730678,-0.0156551,-0.629089,-0.0277885,-0.110428,-0.00493562,-0.31801,0.0127627,0,0,0,0,0,0,0,0,0,0,0,0,1
60,0.676231,0.0542459,0.0221776,-0.0698174,-0.103523,-0.00764364,0.779591,0.0321848,0,0,0,0,0,0,0,0,0,0,0,0,7
61,0.362452,-0.0174367,-1.42197,0.000709038,0.0108686,-0.00207097,1.34954,0.00363515,0,0,0,0,0,0,0,0,0,0,0,0,8
62,1.36216,0.0392656,0.765025,0.0753259,0.0228516,0.00311261,-2.16077,-0.00723851,0,0,0,0,0,0,0,0,0,0,0,0,11
63,-1.18872,-0.00875264,-0.350228,-0.00689001,-0.114822,-1.23895e-05,1.2569,0.00595328,0,0,0,0,0,0,0,0,0,0,0,0,10
64,0.709727,0.0578052,0.820238,-0.024939,0.225569,0.00392482,-2.39794,-0.0212283,0,0,0,0,0,0,0,0,0,0,0,0,11
65,1.23532,0.036797,2.96799,-0.144245,-0.230603,-0.0104768,1.2994,0.0371021,0,0,0,0,0,0,0,0,0,0,0,0,8
66,-0.122392,-0.027297,0.282049,0.0471477,-0.169085,-0.00290949,1.12866,0.0138135,0,0,0,0,0,0,0,0,0,0,0,0,8
67,-0.139549,-0.0294193,2.0735,-0.069084,0.0854736,-0.00207918,0.498548,0.00957203,0,0,0,0,0,0,0,0,0,0,0,0,6
68,-0.646258,-0.00995866,0.16355,-0.0125999,-0.160627,0.000607965,0.985007,0.0037376,0,0,0,0,0,0,0,0,0,0,0,0,5
69,-0.526613,-0.0208402,-0.179449,-0.0299983,-0.0723286,-0.00324821,0.438781,0.00898609,0,0,0,0,0,0,0,0,0,0,0,0,2
70,-0.526005,0.0166937,0.546779,-0.0403185,0.226184,0.00487799,0.80652,0.029512,0,0,0,0,0,0,0,0,0,0,0,0,7
71,0.650502,-0.0108378,0.412061,-0.0801782,-0.21114,-0.00418829,1.19622,0.0181167,0,0,0,0,0,0,0,0,0,0,0,0,7
72,0.833539,-0.0190533,1.31985,0.160066,-0.0984656,-0.00617053,1.83367,0.0239387,0,0,0,0,0,0,0,0,0,0,0,0,7
73,-0.239028,-0.00537025,-1.11374,-0.0241859,-0.181089,-0.000991794,1.09577,0.00411801,0,0,0,0,0,0,0,0,0,0,0,0,7
74,-0.57,-0.0145934,0.0724003,-0.0184761,-0.0802248,-0.00172957,0.975128,0.00320248,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0.0881837,-0.0242644,-0.676755,0.0397459,-0.127935,-0.00636875,0.509183,0.0106898,0,0,0,0,0,0,0,0,0,0,0,0,3
76,0.222413,-0.00888261,-1.14202,0.00475655,-0.226897,-0.00201793,0.637128,0.00921297,0,0,0,0,0,0,0,0,0,0,0,0,5
77,1.66332,-0.121347,0.314315,-0.125403,0.309761,0.00158592,1.15188,-0.021752,0,0,0,0,0,0,0,0,0,0,0,0,10
78,0.440986,-0.0400499,0.544713,-0.113281,0.111234,0.00469521,-0.203294,-0.00232448,0,0,0,0,0,0,0,0,0,0,0,0,12
79,-0.77759,0.00284342,-0.589864,-0.00745831,-0.122038,-0.00220992,0.77773,0.00432969,0,0,0,0,0,0,0,0,0,0,0,0,5
80,-0.312201,-0.025248,-0.248715,-0.0231209,-0.204307,-0.00359125,0.181125,0.0120917,0,0,0,0,0,0,0,0,0,0,0,0,7
81,1.05434,0.0623548,-0.149058,-0.119873,-0.0122745,-0.00960617,0.303228,0.0156922,0,0,0,0,0,0,0,0,0,0,0,0,12
82,0.52621,0.0672018,0.326909,0.0274105,0.116127,0.00697433,0.0936493,-0.00426733,0,0,0,0,0,0,0,0,0,0,0,0,6
