rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
3,19,0.032440884641753,-0.0013304299468973,-0.509954910582082,-0.0192452552216018,0,0,0,0,0,0,0,0
1,20,0.00966522159947125,3.1106505242028e-05,1.793967697547,0.112421137531381,0,0,0,0,0,0,0,0
2,20,0.05163195158012,-0.00561943695028837,1.05742162920046,0.16725474294346,0,0,0,0,0,0,0,0
3,20,0.0723493064677969,-0.00156827595609019,1.69361642473113,0.0973598266032438,0,0,0,0,0,0,0,0
1,21,-0.0096957794908219,-0.000910922621040901,2.00257445898422,-0.171068423453999,0,0,0,0,0,0,0,0
2,21,-0.0117710212167905,-0.00587524066708381,0.398720291252372,0.262091399568118,0,0,0,0,0,0,0,0
3,21,-0.0288502721149628,0.00308522247238196,0.816842572545335,-0.168978517105069,0,0,0,0,0,0,0,0
1,22,-0.00927859500980155,-0.00932246532280987,0.241320979973298,0.0460722935051468,0,0,0,0,0,0,0,0
2,22,0.0188191966008731,-0.00453101294743872,0.436790995214028,0.168287163358963,0,0,0,0,0,0,0,0
3,22,0.00820060450126014,-0.00199554398190247,0.656905530379574,-0.0620036089201833,0,0,0,0,0,0,0,0
1,23,-0.0465822841611665,-0.000607967749650348,-0.438638689414363,0.00984653834061791,0,0,0,0,0,0,0,0
2,23,-0.0164389814852344,0.009648530624935,0.366254325548526,-0.146145548342912,0,0,0,0,0,0,0,0
3,23,0.0666035754770462,0.00244537592195529,-0.815869302314647,-0.26908275357443,0,0,0,0,0,0,0,0
1,24,-0.0216986025691526,0.00419055462657558,0.387883744997106,0.19587716343148,0,0,0,0,0,0,0,0
2,24,-0.00860123967727056,0.00202466709205881,0.223356119554829,0.189448235044554,0,0,0,0,0,0,0,0
3,24,-0.00474804602119505,0.000116249225502729,0.405007220345495,0.16083170654941,0,0,0,0,0,0,0,0
1,25,0.010851000282484,-0.000225107793634198,0.00414645260859725,-0.306304581501442,0,0,0,0,0,0,0,0
2,25,-4.94694081849545e-05,-0.00891775182517315,-0.0247437307296501,0.0186100810845857,0,0,0,0,0,0,0,0
3,25,-0.0480363557734638,0.00207419033516519,-0.78282626257596,-0.227112784689759,0,0,0,0,0,0,0,0
1,26,0.00683761238905678,0.00459681239406411,-1.21562307141171,-0.137895558642499,0,0,0,0,0,0,0,0
2,26,0.0136638258465922,0.00622999446309362,-0.921717801995583,-0.15121173010112,0,0,0,0,0,0,0,0
3,26,0.00874137182779489,0.00435881582008082,-0.939709539719088,-0.126127696417562,0,0,0,0,0,0,0,0
1,27,0.0100762472361513,-0.010063184841598,-0.55610248283355,-0.149105035435512,0,0,0,0,0,0,0,0
2,27,-0.00351770992073774,-0.00563328330635733,0.507245820261905,-0.222434925592847,0,0,0,0,0,0,0,0
3,27,0.0168557882265938,-0.0103473824277059,-0.390424583750786,-0.134147847300924,0,0,0,0,0,0,0,0
1,28,0.0034613470620366,-0.00696241581957529,0.187432499119164,-0.18724176865046,0,0,0,0,0,0,0,0
2,28,0.0331759326962073,-0.00243007207487821,-0.254638402991819,0.0922581208254055,0,0,0,0,0,0,0,0
3,28,-0.0280142800370431,-0.00354714168614672,-0.40498800461008,0.14244692162893,0,0,0,0,0,0,0,0
1,29,-0.0152419384324274,-0.00377819115293873,0.554829799573183,0.00661314383921514,0,0,0,0,0,0,0,0
2,29,-0.00713762356747871,-0.00469899807876961,0.167934626621541,-0.018997532316387,0,0,0,0,0,0,0,0
3,29,-0.0289909708218952,-0.00478893152870665,0.210338816188161,0.0158820607730339,0,0,0,0,0,0,0,0
1,30,0.0209341819515902,0.00102085273418633,0.574262061512778,0.094408622996169,0,0,0,0,0,0,0,0
2,30,0.0593025161656051,-0.00272849445623252,0.463810222524257,-0.0199182922723238,0,0,0,0,0,0,0,0
3,30,0.0511429825505347,0.00368041675856184,0.404593744761478,-0.0148878921133484,0,0,0,0,0,0,0,0
1,31,-0.0459134024151746,-0.000942393640663283,-0.850114616427224,0.0878294642462962,0,0,0,0,0,0,0,0
2,31,-0.0244087086728886,-0.0015291418172918,-1.17696600680295,0.121769791145365,0,0,0,0,0,0,0,0
3,31,-0.0541762050635395,0.00409632043804809,-1.6019221214594,0.222848527608982,0,0,0,0,0,0,0,0
1,32,0.0316028479009489,0.00267141313184322,-0.135436667373626,-0.149806057241437,0,0,0,0,0,0,0,0
2,32,0.0377228197945474,0.0028272752495857,-0.493947552402593,-0.149507808998351,0,0,0,0,0,0,0,0
3,32,0.0129309702863329,0.00385254341183656,-0.387109643428806,-0.156127281733122,0,0,0,0,0,0,0,0
1,33,-0.0580372379222842,1.05557973796831e-05,1.02671943812439,0.123784898840558,0,0,0,0,0,0,0,0
2,33,-0.0665694173685907,-0.00103420096666707,1.32298599323688,0.100252278854306,0,0,0,0,0,0,0,0
3,33,-0.055171099491595,-0.00154071644226432,1.46956704083804,0.0913950606027085,0,0,0,0,0,0,0,0
1,34,0.0804157790776516,0.00445785996405562,0.629169878360989,-0.217299971043766,0,0,0,0,0,0,0,0
2,34,0.0325173129219145,-0.000371352075976564,-0.53187982214157,-0.121958083722254,0,0,0,0,0,0,0,0
3,34,0.027492325113756,0.00397259803049661,-0.629537038119473,-0.000703756819141935,0,0,0,0,0,0,0,0
