"rep"	"id"	"b03"	"b13"	"b06"	"b16"	"h1"	"h2"	"alpha13"	"alpha16"	"alpha23"	"alpha26"	"hcov1"	"hcov2"
1	"160"	5.59553733581183	0.246490912411659	93.5821688265607	0.133456475125687	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.020845	-0.2813316
1	"161"	3.429849138438	-0.214865886537696	90.2297454831783	0.208307095651462	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	0.5104225	-0.1406658
1	"163"	4.13975264184037	-0.0111855008931529	94.3260351032699	-0.0531314245544373	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.08338	-1.1253264
1	"165"	5.511105329852	-0.124879468247324	93.8494094206673	0.132612372522131	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.104225	-1.406658
1	"166"	4.84396229846904	-0.0665380882922087	96.7875354959752	-0.169778945806861	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.5521125	-0.703329
1	"168"	6.87803303727585	-0.393284947731405	93.2279169212167	-0.229909365079143	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	0.5104225	-0.1406658
1	"170"	4.82628415019659	-0.0298973754768364	95.2364223512011	0.0451235878091684	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.6146475	-1.5473238
1	"172"	3.64832899167974	0.156942924296789	91.7951960933123	0.25085320736261	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	6.12507	-1.6879896
1	"173"	5.73954121920038	-0.25803166861028	94.5663074409661	-0.0626933228817904	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.04169	-0.5626632
1	"174"	4.05610954005301	-0.027462558413043	98.2436237898333	0.0466240003260319	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	0	0
1	"175"	5.10177367496882	0.0365736096118446	94.3028804345881	0.0472926824104048	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	0.5104225	-0.1406658
1	"177"	4.28781859162257	-0.332606424456203	91.2027462550096	-0.0547375947192464	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.04169	-0.5626632
1	"179"	4.30316145153573	-0.0919164560915353	90.1719595429878	-0.083856114217266	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.104225	-1.406658
1	"180"	3.23089901465201	0.0111802804013975	96.3397193217837	-0.197950808982492	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.08338	-1.1253264
1	"181"	5.31174425279996	0.0630787671358687	97.9685616383062	-0.0559568767867358	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.08338	-1.1253264
1	"182"	4.13216197626964	-0.0925765412503187	97.3034854024258	0.0820538687155528	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.08338	-1.1253264
1	"186"	3.78525593441485	0.136739774086426	93.0459714236374	0.0715389978053566	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
