id,b02_SAEM,b12_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha22_SAEM
131,7.42604,0.00163632,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
132,7.45579,0.00149593,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
133,7.36817,0.00192239,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
134,7.37109,0.00457341,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
135,7.43324,0.00366489,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
136,7.38884,0.00118831,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
137,7.37666,0.00128758,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
138,7.35613,0.00234781,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
139,7.44984,0.00438878,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
140,7.36659,0.00343907,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
141,7.39881,0.00366176,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
142,7.43747,0.0046954,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
143,7.39792,0.00283486,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
144,7.42997,0.000233565,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
145,7.40977,0.00331374,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
146,7.38905,0.00049173,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
147,7.42343,0.00744745,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
148,7.37973,-0.00163283,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
149,7.40875,0.00300574,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
150,7.41368,0.00341878,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
151,7.40131,0.00402266,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
152,7.39988,0.0123899,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
153,7.29096,-0.000165362,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
154,7.36644,-2.48614e-05,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
155,7.4478,0.00801042,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
156,7.42839,0.00562503,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
157,7.43409,0.00204635,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
158,7.39236,0.00189669,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
159,7.3705,0.00343151,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
160,7.45628,0.00246676,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
161,7.37668,0.00129439,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
162,7.39258,0.00196044,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
163,7.40109,0.00215599,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
