rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha27
3,21,-0.0159326741224088,-0.00280763729228656,0.176542204037428,-0.181682362669409,-66.5954037188029,-2.76305516662144,0,0,0,0,0,0,0,0,0,0
1,22,-0.0578176220043289,-0.000638536630185894,-0.696326907365944,0.0632184644368178,52.1941921825029,1.28539051307643,0,0,0,0,0,0,0,0,0,0
2,22,-0.0514709894910688,1.650720773226e-06,-0.63587191767227,-0.0352926779156212,196.683725714921,3.17506293085284,0,0,0,0,0,0,0,0,0,0
3,22,-0.0704315822753037,-0.00393179852336762,-0.462914515854793,-0.0705408630195296,141.310653934705,-4.09921836259464,0,0,0,0,0,0,0,0,0,0
1,23,-0.0292446248197553,-0.00235938012501893,-0.109630649631808,-0.115107749412204,150.39988161691,3.29541692273077,0,0,0,0,0,0,0,0,0,0
2,23,-0.0538429666319438,0.0115460665842438,0.0213895547000664,-0.140008558036763,149.168704537585,0.923514946367639,0,0,0,0,0,0,0,0,0,0
3,23,-0.0424777012072592,-0.000563176691660364,-1.43641488357854,0.138289614648454,119.497073816916,10.6666253599942,0,0,0,0,0,0,0,0,0,0
1,24,-0.0253554444809705,0.00196453125365626,0.205210905751024,-0.0637537517077555,8.31362969669811,8.0717328607066,0,0,0,0,0,0,0,0,0,0
2,24,-0.00891737603360365,-0.000481006640978289,-0.589282521892919,-0.0141716919448827,58.9211207124513,5.97383980455355,0,0,0,0,0,0,0,0,0,0
3,24,-0.0258460945364352,0.00414560140253332,0.619421763406952,0.0277243907940869,87.1481792665172,4.04591562270397,0,0,0,0,0,0,0,0,0,0
1,25,0.0179067584017636,0.000647149789208536,-1.09406706806764,0.127186094318442,7.61590486748469,5.54312554556502,0,0,0,0,0,0,0,0,0,0
2,25,0.00571195463613083,0.000313885279106487,-1.52468428274292,0.126209322833073,6.39736027235261,4.85368208885225,0,0,0,0,0,0,0,0,0,0
3,25,-0.00439987724387425,0.00243463360554426,-1.38131885091323,0.130456038822799,-42.6077283747286,6.53686616848554,0,0,0,0,0,0,0,0,0,0
1,26,-0.0488155691689016,0.0103078023627171,0.0268558157475143,0.0186533125790609,139.985580570336,-6.04967291575031,0,0,0,0,0,0,0,0,0,0
2,26,-0.0236797555667687,0.00925718729671206,-0.49171188808027,0.0634354756030042,258.960783968236,-13.2287556778232,0,0,0,0,0,0,0,0,0,0
3,26,-0.039518828313148,0.00911967378987281,-0.603113076393477,0.0650175444627083,129.169255248044,-6.47952430018869,0,0,0,0,0,0,0,0,0,0
1,27,0.0864932825304532,0.00209684846560977,0.387161185413221,0.0977456443021006,-120.512881314865,-2.6470566581618,0,0,0,0,0,0,0,0,0,0
2,27,0.0668432843067119,-0.00563058783486642,0.0590483488364608,0.123118754687981,-123.334010590812,-6.36593375844195,0,0,0,0,0,0,0,0,0,0
3,27,0.0678370964296624,-2.67171440434728e-05,0.438519945072011,-0.0895416093495426,-95.6773914146635,-10.804922029358,0,0,0,0,0,0,0,0,0,0
1,28,-0.00783251053511336,0.00128655860969597,0.0878931651886363,0.0273514947065668,241.585527460134,-8.82079959715198,0,0,0,0,0,0,0,0,0,0
2,28,-0.0251237912357549,0.00154525670440432,0.506492429794071,0.00534980155400475,229.813404501817,-6.18711359124675,0,0,0,0,0,0,0,0,0,0
3,28,-0.0132346869761344,0.000983648808290817,0.567885169667525,0.0093202403933855,148.49193580709,-4.44710229457114,0,0,0,0,0,0,0,0,0,0
1,29,0.0219842003661839,0.00783486366618241,-0.124436348027166,0.0826938806165964,-2.05636238706649,0.173963231006066,0,0,0,0,0,0,0,0,0,0
2,29,0.0416947719688938,0.00515008949139985,0.31293842603366,0.0158431832913367,3.52618939616451,-2.60505124356875,0,0,0,0,0,0,0,0,0,0
3,29,0.0300914295528649,0.00700647125592456,-0.153244151008581,0.069569180940381,-39.5808972350943,3.97758324421482,0,0,0,0,0,0,0,0,0,0
1,30,-0.0726345024271309,-0.00499599446026064,-0.604477062652236,-0.0539182592380821,-22.9509162458082,0.586074208113699,0,0,0,0,0,0,0,0,0,0
2,30,-0.0272465756694507,-0.0114679388388033,-0.831295854286489,-0.201992494078548,-23.5330477303046,-3.19335690158865,0,0,0,0,0,0,0,0,0,0
3,30,-0.0595016401210673,-0.00445821395212614,-0.942845491827593,-0.00597027986549525,14.5337850873275,-3.40549460111361,0,0,0,0,0,0,0,0,0,0
1,31,-0.00619120514146498,0.000869571149379406,-0.687460860439646,0.0675313734026485,-48.6854968635739,-5.81656306760772,0,0,0,0,0,0,0,0,0,0
2,31,0.0126665676354669,-0.00156914143990441,-0.845049111935618,0.0984908831660624,-25.4402655832391,-6.56914924647028,0,0,0,0,0,0,0,0,0,0
3,31,0.0302229434223067,0.00104933381577647,-0.386217610478409,0.0465457413440973,-21.0102992287057,-6.12548861318422,0,0,0,0,0,0,0,0,0,0
1,32,-0.0378990031783095,0.00223719273815947,0.654584790322763,0.103075616261414,-252.466108600301,2.30300235615692,0,0,0,0,0,0,0,0,0,0
2,32,-0.0574242483530769,0.00144332171761952,0.764164874058065,-0.0532544808484901,-254.176914023134,2.57821133168413,0,0,0,0,0,0,0,0,0,0
3,32,-0.0242584364470488,-0.000417088765877723,0.96321335248038,-0.179487387890516,-233.318662378769,-1.00878832067383,0,0,0,0,0,0,0,0,0,0
1,33,0.00760971786888476,0.00514287995972091,-0.548188634018766,-0.0740760427036092,-31.0266989879518,5.58564109551014,0,0,0,0,0,0,0,0,0,0
2,33,-0.0175181111677309,0.00531098554404944,-0.237893223339302,-0.0883911553748362,0.654211861258887,3.14022405001399,0,0,0,0,0,0,0,0,0,0
3,33,-0.0212013125595165,0.00671691392908355,-0.15356709356523,-0.0872385767469172,-3.13069707208768,2.80058951466733,0,0,0,0,0,0,0,0,0,0
