rep,id,b02,b12,b03,b13,b07,b17,p1,g1,p2,g2,alpha12,alpha13,alpha17,alpha22,alpha23,alpha27
1,15,7.44398433362063,0.00276599691182987,5.11802340843224,-0.197025151159997,481.864965742877,-4.88374916912158,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,15,7.40066886332721,-0.00102834420637148,6.11374809727421,-0.0879998293745403,332.773027127605,-4.70934893366878,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,15,7.45264083824075,0.0034773294215229,4.35936948537586,-0.238263666818551,392.794266615573,-7.83050432400453,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,16,7.35376516784022,-0.00129937231264972,5.83915145378202,-0.259420789369414,472.72522522371,-4.98255268937759,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,16,7.38508101521385,0.00270809336772091,5.31453944797916,-0.278344127376075,511.557514582612,-3.93384643919795,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,16,7.42283286725639,0.000693231357709898,5.31544722492294,-0.0507176314009611,577.90634705377,-8.44102888109118,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,17,7.3914009470484,-0.00423243034973013,3.11812112734281,-0.283755988711098,274.757438945199,-8.07360822046178,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,17,7.38419303346618,0.00194988654128933,4.04106130631015,-0.163560549441393,322.242974976071,-4.26180012435817,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,17,7.47377435222006,-0.00747866516550838,2.21135073038874,-0.452944193417431,448.577367824539,4.76705250098841,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,18,7.38109033924357,-0.00178696499873198,3.73517658159542,-0.212278611221375,225.697711729367,-4.47755264876842,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,18,7.38240284345113,-0.0077594508092981,4.79904919003003,-0.252296981030561,265.833064955862,-7.53758941020634,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,18,7.36700391394803,-0.00400526186272825,4.58118410083485,-0.239422717245894,276.627351993624,-5.67545374119079,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,19,7.42897374926669,-0.000474179638192002,3.78533303969136,-0.202579344630809,402.076524541294,-14.7621060613927,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
