rep,id,b0,b1,h1,h2,alpha1,alpha2,hcov1,hcov2,eta_b0,eta_b1,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2
10,11,0.556177961031074,-0.00110298428325542,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,0.0171279490791582,0.00149779675599519,0,0,0,0,0,0
1,12,0.555025628589,-0.0060760096810376,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.02700419052876,-0.839254357097376,0.0159756166370847,-0.003475228641787,0,0,0,0,0,0
2,12,0.572988479604865,-0.00674356684798711,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.02700419052876,-0.839254357097376,0.0339384676529492,-0.00414278580873651,0,0,0,0,0,0
3,12,0.561015698117959,-0.00460055783559163,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.02700419052876,-0.839254357097376,0.0219656861660434,-0.00199977679634102,0,0,0,0,0,0
4,12,0.53138673064897,0.000694763347165568,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.02700419052876,-0.839254357097376,-0.00766328130294525,0.00329554438641617,0,0,0,0,0,0
5,12,0.555012140541761,-0.00907563936517814,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.02700419052876,-0.839254357097376,0.015962128589846,-0.00647485832592754,0,0,0,0,0,0
6,12,0.54567851551809,-0.00264528407102172,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.02700419052876,-0.839254357097376,0.00662850356617428,-4.45030317711183e-05,0,0,0,0,0,0
7,12,0.510444130537681,-0.00101879309096955,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.02700419052876,-0.839254357097376,-0.0286058814142346,0.00158198794828106,0,0,0,0,0,0
8,12,0.540245774978202,-0.00519825981830487,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.02700419052876,-0.839254357097376,0.00119576302628643,-0.00259747877905427,0,0,0,0,0,0
9,12,0.544267871932348,-0.00192605754478058,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.02700419052876,-0.839254357097376,0.005217859980433,0.000674723494470023,0,0,0,0,0,0
