id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,b04_SAEM,b14_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha14_SAEM,alpha22_SAEM,alpha23_SAEM,alpha24_SAEM
94,7.40841,-0.00473388,3.73844,-0.000216407,5.61279,-0.0225435,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
95,7.44777,0.00384739,4.30925,-0.148146,6.6764,0.012674,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
96,7.34714,0.00301062,3.33891,-0.238296,3.59737,0.0246979,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
97,7.40071,0.00374154,4.07141,-0.16265,6.03677,0.0210875,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
98,7.39303,0.00308398,3.73567,-0.224157,6.43809,0.016655,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
99,7.38987,0.00161171,4.51152,-0.189763,3.76269,-0.0220862,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
100,7.35679,0.00368227,3.79786,-0.250272,3.73519,0.013504,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
101,7.42319,0.00315426,3.6442,-0.167068,7.0916,0.0242739,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
102,7.3917,0.00379063,3.79284,-0.0966506,8.54045,0.0219795,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
103,7.39894,0.00316303,4.11331,-0.223487,4.78138,0.0196894,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
104,7.40329,0.00493467,5.40485,0.0141615,6.22751,0.0589285,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
105,7.38639,0.00524412,4.8854,-0.133166,5.04119,0.048214,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
106,7.40205,0.0035156,4.12838,-0.0261211,4.90714,-0.0117698,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
107,7.4002,0.00259404,2.88032,-0.174429,4.95693,0.0223956,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
108,7.39217,0.00492381,5.70274,-0.187076,5.72293,0.0676458,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
109,7.3716,2.07194e-05,3.99034,-0.256947,4.39943,0.00807209,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
110,7.36488,0.00069041,3.12902,-0.257909,3.10446,-0.0478811,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
111,7.46283,0.0043292,5.48681,-0.091109,6.94892,0.0501256,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
112,7.36687,0.00290705,4.37229,-0.187775,3.34809,-0.0105668,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
113,7.43348,0.00402995,6.42222,-0.118287,5.9827,0.0208637,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
114,7.39276,-0.000781196,2.32814,-0.214562,4.10856,-0.0145765,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
115,7.4029,0.00301508,3.15409,-0.133824,4.37368,0.0145268,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
116,7.38073,-0.000538244,6.84692,-0.120545,5.47824,0.0619248,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
117,7.31847,0.00110063,4.78707,-0.397167,1.68959,0.0351599,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
118,7.34254,-0.00119696,5.43338,0.00689302,2.95421,0.0336407,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
119,7.40072,0.00368728,4.53606,-0.164643,7.08245,0.0320034,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
120,7.40073,0.00327829,2.86713,-0.157354,3.80207,0.0157431,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
121,7.4287,0.00320169,4.14442,-0.107301,6.85743,0.0240517,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
122,7.42493,-0.00154582,5.07465,-0.0460462,6.46641,-0.00990915,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
123,7.44315,0.00261876,4.0986,-0.153618,5.92096,0.0217102,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
124,7.44107,0.00328792,3.54922,-0.187046,6.34406,0.0240786,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
125,7.43323,-0.00115809,4.10342,-0.210512,6.47856,-0.0117155,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
126,7.37615,0.00215561,5.91253,0.176814,5.56218,-0.0503107,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
127,7.38276,0.000856851,3.37486,-0.289193,4.65588,0.115808,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
128,7.38682,0.00140024,4.078,-0.104856,5.08027,0.0172583,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
129,7.37279,0.00633932,3.68059,-0.189031,3.73058,-0.0395283,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
130,7.41426,0.00284575,4.60196,-0.12087,6.82472,0.0203802,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
