"rep"	"id"	"b02"	"b12"	"b03"	"b13"	"p1"	"g1"	"p2"	"g2"	"alpha12"	"alpha13"	"alpha22"	"alpha23"
1	"70"	7.42781145918675	0.00511168113031663	6.1133104979805	-0.173063039987033	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"73"	7.37773895018465	0.0105750776669262	4.58861251190977	-0.0128941074375538	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"75"	7.42009756708586	0.0125662421216556	5.10015956482473	-0.233067928533876	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"76"	7.34875618284448	0.0115360268386055	4.22852000554296	-0.323832710031671	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"79"	7.42850689642662	0.00522225949533301	2.85485253059123	-0.141029165181739	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"80"	7.36344368411775	-0.00143732763435157	4.99813943183843	-0.244601502995809	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"82"	7.48541867716199	0.00332797522634848	3.90951241734572	-0.157631330888318	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"83"	7.39118580912339	-0.00347669219223739	2.12984594465414	-0.436569139016819	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"85"	7.39901958639498	0.0110877370977425	3.98149042316793	-0.187695798838564	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"86"	7.44565284068577	0.00996566616966568	4.70113172024385	-0.0960594387025304	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"87"	7.38509346651709	0.0106192886301108	6.42487624983453	-0.0972668643002585	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"88"	7.39743597655734	0.00686571139279689	4.03015295412027	-0.153360999698367	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"92"	7.28035158780877	0.0108134410808355	4.40503487951281	0.137919028791849	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
