id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha21_SAEM,alpha22_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha21_mean,alpha22_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha21_mode,alpha22_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha21_sd,alpha22_sd
52,4.77886,-0.176864,-0.124316,6.53781,7.39194,0.00514216,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,4.91162,-0.183303,-0.117116,6.22744,7.38908,0.00618834,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,4.68419,-0.219137,-0.0824188,10.7971,7.388,0.00556607,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.969089,0.102296,0.0898018,7.46072,0.0222154,0.00539774,0,0,0,0,0,0,0,0
53,1.08443,-0.225857,-0.0515677,7.54321,7.41378,0.00268033,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,1.22581,-0.214801,-0.0956753,14.1284,7.41126,0.0031668,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.00713,-0.189767,-0.0751188,8.45911,7.41351,0.00301041,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.584848,0.0690093,0.0323043,8.78527,0.0222722,0.0044831,0,0,0,0,0,0,0,0
54,3.89278,-0.154488,-0.161068,4.69969,7.40638,0.00453646,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,4.05529,-0.144511,-0.149148,4.44816,7.40272,0.00406043,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,3.5114,-0.16547,-0.145066,4.2194,7.40488,0.00399205,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.979074,0.106004,0.0878383,3.67014,0.0280794,0.00523913,0,0,0,0,0,0,0,0
55,5.70653,-0.106835,-0.174943,5.1917,7.38914,0.00014236,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,5.63448,-0.111286,-0.164515,4.96792,7.38809,-0.000354515,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,5.30026,-0.122507,-0.175731,4.13863,7.3902,-9.15883e-05,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.00979,0.103786,0.0864899,4.56814,0.0283643,0.00551291,0,0,0,0,0,0,0,0
56,2.49316,-0.168437,-0.177286,3.33535,7.40711,-0.00259589,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,2.55119,-0.172285,-0.176798,3.30388,7.40595,-0.00253494,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,2.39423,-0.151801,-0.157433,3.98679,7.40851,-0.00272019,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.503202,0.070083,0.0821491,3.12668,0.0184494,0.00134681,0,0,0,0,0,0,0,0
57,1.94029,-0.160964,-0.178789,4.41401,7.33902,0.0044767,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,1.91118,-0.152375,-0.178507,3.22627,7.33968,0.00442568,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.53566,-0.116943,-0.164447,4.0286,7.33609,0.00501833,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.524291,0.0870802,0.0721969,3.05359,0.0201291,0.00306311,0,0,0,0,0,0,0,0
58,8.3751,-0.135153,-0.179085,4.80667,7.42429,0.00614273,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,8.36258,-0.147251,-0.191873,4.31132,7.42289,0.00620216,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,8.12321,-0.127574,-0.187713,4.28074,7.42463,0.00607411,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.786256,0.0719026,0.0853048,3.95875,0.0196902,0.00202644,0,0,0,0,0,0,0,0
59,4.74923,-0.187235,-0.153128,4.15868,7.41893,0.0033632,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,4.673,-0.181558,-0.157016,4.95322,7.42173,0.00328167,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,4.62921,-0.167731,-0.13246,4.46602,7.42024,0.0033006,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.547635,0.0749865,0.0731408,4.53772,0.0180189,0.00160646,0,0,0,0,0,0,0,0
60,4.03902,-0.0967578,-0.195664,4.46399,7.41229,0.00461662,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,4.33909,-0.121044,-0.206148,5.037,7.40941,0.00495016,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,3.25622,-0.0664702,-0.1782,5.23227,7.41099,0.00451883,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.874192,0.0770567,0.0704344,4.6468,0.0197753,0.00414733,0,0,0,0,0,0,0,0
61,7.22417,-0.0788078,-0.212369,8.27061,7.38317,0.0031377,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,7.46961,-0.0867194,-0.21104,6.90504,7.38467,0.00318827,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,6.3328,-0.0690015,-0.217367,8.65084,7.38355,0.00319252,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.22385,0.0689248,0.0746546,5.35772,0.0218935,0.00275491,0,0,0,0,0,0,0,0
