id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha21_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha21_mean,b01_mode,b11_mode,b21_mode,a1_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha21_mode,b01_sd,b11_sd,b21_sd,a1_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha21_sd
129,5.33327,-0.0936811,-0.180423,4.62399,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.47621,-0.104522,-0.177529,4.96639,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.8623,-0.082951,-0.187617,5.31941,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.12296,0.0903966,0.0883292,5.19852,0,0,0,0,0,0
130,3.38525,0.0137833,-0.177229,8.04843,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,2.95914,0.0094167,-0.175571,8.90756,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,2.51128,0.0120405,-0.169491,8.40885,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.821778,0.0111655,0.0508137,2.35669,0,0,0,0,0,0
131,2.45947,-0.153378,-0.0563397,4.35576,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,2.38659,-0.162974,-0.0599337,3.76284,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,2.62714,-0.137618,-0.0668873,5.81042,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.58949,0.0740772,0.061521,2.41021,0,0,0,0,0,0
132,2.78953,-0.103859,-0.172111,6.75528,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,2.8528,-0.0980511,-0.180298,7.36441,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.61286,-0.106305,-0.168207,3.64494,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.44483,0.087487,0.092495,10.5207,0,0,0,0,0,0
133,6.66286,-0.0310276,-0.222848,14.6103,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,6.2874,-0.0383452,-0.219861,16.9747,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,5.70437,-0.0352096,-0.204483,16.0526,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.26947,0.0163288,0.0639308,6.09146,0,0,0,0,0,0
134,5.24071,-0.0896525,-0.180843,5.96371,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.26991,-0.0854835,-0.188616,6.8873,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.74109,-0.0732052,-0.183169,5.43625,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.16513,0.0882182,0.0786004,7.12553,0,0,0,0,0,0
135,1.56582,-0.119153,-0.180563,3.11523,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,1.53719,-0.118947,-0.190797,2.89918,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.14105,-0.0958887,-0.167565,3.89322,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.491204,0.0786944,0.0720638,2.54692,0,0,0,0,0,0
136,3.73532,-0.139767,-0.0584252,3.00985,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,3.89216,-0.121647,-0.0453212,3.51624,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.16101,-0.0663575,-0.0134086,4.45315,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.697604,0.0696425,0.0913322,2.84543,0,0,0,0,0,0
137,6.34429,-0.183202,-0.141935,5.681,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,6.41655,-0.197461,-0.135142,5.70596,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,6.69582,-0.187022,-0.1025,7.49139,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.61185,0.0724734,0.0600705,5.52259,0,0,0,0,0,0
138,5.34772,-0.189203,-0.143351,17.7159,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.51967,-0.148926,-0.143888,17.2341,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,5.50567,-0.0996727,-0.172312,3.89958,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.06926,0.137706,0.0735143,14.5391,0,0,0,0,0,0
139,3.82959,-0.113661,-0.173212,3.18731,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,3.88805,-0.117714,-0.174553,3.21858,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,3.20478,-0.0684287,-0.151259,3.80562,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.704016,0.0990445,0.0736678,3.33,0,0,0,0,0,0
140,5.75141,-0.121366,-0.169322,4.2483,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.82522,-0.115947,-0.166787,5.03747,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,5.45478,-0.11682,-0.165108,3.43719,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.946358,0.0890242,0.0746233,7.10924,0,0,0,0,0,0
141,5.15058,-0.144763,-0.207243,5.44507,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.20527,-0.134786,-0.188694,4.88097,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.70534,-0.125034,-0.21958,6.2266,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.69943,0.0558822,0.0941815,4.51357,0,0,0,0,0,0
142,2.51355,0.0985251,-0.157491,2.1708,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,2.81473,0.103978,-0.159585,1.89401,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,2.25807,0.0966859,-0.152572,2.16098,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.72056,0.0134943,0.0776023,0.589149,0,0,0,0,0,0
143,2.31081,-0.1996,-0.0269101,22.132,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,2.7394,-0.226024,-0.0562913,28.2533,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.98212,-0.180653,-0.039608,21.2012,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.05457,0.0493221,0.0469055,16.0415,0,0,0,0,0,0
144,2.57998,-0.134817,-0.174496,3.07286,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,2.41495,-0.137221,-0.212012,3.29973,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,2.13179,-0.123243,-0.196075,4.50386,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.413496,0.0653211,0.0742253,3.16216,0,0,0,0,0,0
145,4.85888,-0.107173,-0.163383,3.3545,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,4.92949,-0.129211,-0.162651,4.79904,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,3.63609,-0.0255948,-0.130495,3.38049,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.75957,0.103356,0.0680138,8.11167,0,0,0,0,0,0
146,6.10291,-0.227845,-0.125859,11.9066,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,6.01078,-0.193972,-0.133791,10.6598,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,6.34392,-0.220602,-0.117635,12.7022,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.14957,0.122222,0.0537976,7.37951,0,0,0,0,0,0
147,1.64406,-0.14825,-0.21047,4.57316,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,1.83543,-0.145324,-0.180224,4.26528,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.29433,-0.135487,-0.211798,4.62107,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.535638,0.0643315,0.0950128,4.14759,0,0,0,0,0,0
148,3.52102,-0.0886677,-0.186408,5.8214,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,3.34166,-0.0773986,-0.190445,5.48378,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,2.37948,-0.0589916,-0.185105,6.62691,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.05027,0.0655228,0.083001,5.02569,0,0,0,0,0,0
149,4.97296,-0.127868,-0.168331,6.32868,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,4.81303,-0.129549,-0.148968,7.51965,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.55336,-0.123524,-0.160048,3.31654,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.933821,0.0992129,0.0888474,12.7559,0,0,0,0,0,0
150,6.00706,-0.141502,-0.166284,6.68302,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.9875,-0.122955,-0.163956,5.7209,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,5.58198,-0.124938,-0.159004,3.29996,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.09214,0.0973201,0.0942936,7.32364,0,0,0,0,0,0
151,3.29251,-0.188984,-0.0444546,22.2537,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,3.54888,-0.217114,-0.0440376,26.8759,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,3.5324,-0.201393,-0.0426741,20.2638,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.631499,0.0707665,0.0224732,16.0175,0,0,0,0,0,0
152,3.08591,-0.124412,-0.172949,2.8416,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,2.99078,-0.107419,-0.165557,3.45516,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,2.34059,-0.0483521,-0.127118,3.33302,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.570279,0.0934295,0.0727086,4.37565,0,0,0,0,0,0
153,5.03879,-0.118542,-0.162004,3.65784,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.18532,-0.109706,-0.166321,3.82195,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.69248,-0.112819,-0.162561,3.44074,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.964995,0.117048,0.0766867,4.86441,0,0,0,0,0,0
154,7.70411,-0.106538,-0.191455,4.99433,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,7.62459,-0.0937132,-0.199008,4.88544,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,7.12771,-0.0894712,-0.199404,5.92075,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.06093,0.090254,0.0743799,5.37297,0,0,0,0,0,0
155,1.73871,-0.101578,-0.177951,3.79772,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,1.80248,-0.10013,-0.187753,3.06627,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.2131,-0.07732,-0.164025,4.19056,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.604979,0.0831986,0.0850055,2.78026,0,0,0,0,0,0
156,3.96139,-0.0764554,-0.159769,2.6976,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,4.22873,-0.112817,-0.1509,3.65852,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,5.0531,-0.182103,-0.126472,5.05522,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.09599,0.115993,0.0821601,2.95565,0,0,0,0,0,0
157,5.74599,-0.137645,-0.156503,6.73458,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.67585,-0.142481,-0.151805,5.79231,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,5.37635,-0.122831,-0.16065,3.32655,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.902217,0.0875512,0.0849051,7.63522,0,0,0,0,0,0
